25.2587		30 	 46.339287358 	 166.421512372 	 0 	 0 	 1 	 1 
25.2587		90 	 64.7769837272 	 219.802615183 	 0 	 0 	 1 	 -1 
25.2587		150 	 40.7568436735 	 162.682463003 	 1 	 1 	 1 	 0 
25.2587		210 	 47.1091193441 	 144.608458476 	 1 	 1 	 1 	 1 
25.2587		270 	 87.8106128824 	 179.516349869 	 0 	 0 	 1 	 -1 
43.7478		0 	 98.1996845591 	 148.471788117 	 1 	 0 	 1 	 0 
50.5147		30 	 166.999634937 	 167.496974523 	 1 	 0 	 1 	 -1 
43.7478		60 	 145.078779584 	 139.090469323 	 0 	 1 	 1 	 0 
50.5147		90 	 21.4046963145 	 136.181947116 	 0 	 0 	 1 	 0 
43.7478		120 	 58.108676963 	 149.123610764 	 1 	 0 	 1 	 1 
50.5147		150 	 125.374232421 	 160.30375297 	 1 	 1 	 1 	 1 
43.7478		180 	 40.1384242448 	 190.684887529 	 1 	 0 	 1 	 0 
50.5147		210 	 131.084709342 	 164.928790238 	 1 	 0 	 1 	 1 
43.7478		240 	 73.0613554292 	 171.843365858 	 1 	 1 	 1 	 -1 
43.7478		300 	 68.2418924066 	 169.713210386 	 1 	 1 	 1 	 0 
50.5148		330 	 66.0282568489 	 136.459722279 	 0 	 1 	 1 	 -1 
66.8212		349.107 	 29.1738068917 	 98.3581910857 	 0 	 0 	 1 	 0 
66.8212		10.8934 	 59.2140771178 	 166.133530958 	 1 	 0 	 1 	 1 
75.7654		30 	 69.5335823868 	 146.836989473 	 0 	 1 	 1 	 -1 
66.8212		49.1066 	 69.5213455838 	 162.042169072 	 0 	 1 	 1 	 -1 
66.8212		70.8934 	 84.0134172798 	 105.716411538 	 1 	 1 	 1 	 -1 
75.7654		90 	 43.4851018977 	 154.944515089 	 0 	 0 	 1 	 -1 
66.8212		109.107 	 43.8829971231 	 178.083070198 	 1 	 0 	 1 	 0 
66.8212		130.893 	 59.4418688665 	 134.498981386 	 0 	 0 	 1 	 -1 
